Продукт,Калорийность,Белки,Жиры,Углеводы
Сардельки 1 сорта,202 кКал,202 кКал,202 кКал,202 кКал
Сардельки говяжьи,215 кКал,215 кКал,215 кКал,215 кКал
"Сардельки говяжьи отварные, по 1-394",215 кКал,215 кКал,215 кКал,215 кКал
Сардельки свиные,322 кКал,322 кКал,322 кКал,322 кКал
"Свинина, Паштет, из ветчины",216 кКал,216 кКал,216 кКал,216 кКал
"Свинина, Паштет, ливерный",304 кКал,304 кКал,304 кКал,304 кКал
"Свинина, Паштет, с сыром и беконом",245 кКал,245 кКал,245 кКал,245 кКал
Сервелат,461 кКал,461 кКал,461 кКал,461 кКал
Сосиски говяжьи,226 кКал,226 кКал,226 кКал,226 кКал
"Сосиски говяжьи отварные, по 1-394",225 кКал,225 кКал,225 кКал,225 кКал
Сосиски столичные,234 кКал,234 кКал,234 кКал,234 кКал
"Сосиски, венские, консервированные, из курицы, говядины, и свинины",230 кКал,230 кКал,230 кКал,230 кКал
"Сосиски, молочные",261 кКал,261 кКал,261 кКал,261 кКал
"Сосиски, русские",250 кКал,250 кКал,250 кКал,250 кКал
"Сосиски, свиные",324 кКал,324 кКал,324 кКал,324 кКал
"Спред для сэндвичей, паштет, из свинины и говядины",235 кКал,235 кКал,235 кКал,235 кКал
"Спред-салат, для сэндвичей, домашняя птица",200 кКал,200 кКал,200 кКал,200 кКал
"Чоризо (чорисо), из свинины и говядины",296 кКал,296 кКал,296 кКал,296 кКал
