Продукт,Калорийность,Белки,Жиры,Углеводы
"Ягнятина, лопаточная часть только мясо, запеченная",209 кКал,209 кКал,209 кКал,209 кКал
"Ягнятина, лопаточная часть, запеченная",281 кКал,281 кКал,281 кКал,281 кКал
"Ягнятина, лопаточная часть, только мясо, тушеная",288 кКал,288 кКал,288 кКал,288 кКал
"Ягнятина, лопаточная часть, тушеная",345 кКал,345 кКал,345 кКал,345 кКал
"Ягнятина, окорок",272 кКал,272 кКал,272 кКал,272 кКал
"Ягнятина, окорок, запеченный",292 кКал,292 кКал,292 кКал,292 кКал
"Ягнятина, окорок, только мясо, запеченный",204 кКал,204 кКал,204 кКал,204 кКал
"Ягнятина, плечевая часть",260 кКал,260 кКал,260 кКал,260 кКал
"Ягнятина, плечевая часть, жаренная на открытом огне",281 кКал,281 кКал,281 кКал,281 кКал
"Ягнятина, плечевая часть, запеченная",279 кКал,279 кКал,279 кКал,279 кКал
"Ягнятина, плечевая часть, только мясо",132 кКал,132 кКал,132 кКал,132 кКал
"Ягнятина, плечевая часть, только мясо, жаренная на открытом огне",200 кКал,200 кКал,200 кКал,200 кКал
"Ягнятина, плечевая часть, только мясо, запеченная",192 кКал,192 кКал,192 кКал,192 кКал
"Ягнятина, плечевая часть, только мясо, тушеная",279 кКал,279 кКал,279 кКал,279 кКал
"Ягнятина, плечевая часть, тушеная",346 кКал,346 кКал,346 кКал,346 кКал
Язык бараний,195 кКал,195 кКал,195 кКал,195 кКал
Язык бараний,222 кКал,222 кКал,222 кКал,222 кКал
Язык бараний тушеный,275 кКал,275 кКал,275 кКал,275 кКал
