Продукт,Калорийность,Белки,Жиры,Углеводы
"Смородина, красная и белая",56 кКал,56 кКал,56 кКал,56 кКал
"Тамаринд, сырой",239 кКал,239 кКал,239 кКал,239 кКал
Терн,54 кКал,54 кКал,54 кКал,54 кКал
Фейхоа,61 кКал,61 кКал,61 кКал,61 кКал
Физалис,53 кКал,53 кКал,53 кКал,53 кКал
"Финик, королевский",277 кКал,277 кКал,277 кКал,277 кКал
Финики,292 кКал,292 кКал,292 кКал,292 кКал
Финики Деглет нур,282 кКал,282 кКал,282 кКал,282 кКал
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в водной заливке",32 кКал,32 кКал,32 кКал,32 кКал
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в легком сахарном сиропе",57 кКал,57 кКал,57 кКал,57 кКал
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в насыщенном сахарном сиропе",73 кКал,73 кКал,73 кКал,73 кКал
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в собственном соку",46 кКал,46 кКал,46 кКал,46 кКал
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-легком сахарном сиропе",45 кКал,45 кКал,45 кКал,45 кКал
"Фруктовый коктейль (персик, ананас, груша, виноград и вишня), консервированный в экстра-насыщенном сахарном сиропе",88 кКал,88 кКал,88 кКал,88 кКал
"Фруктовый коктейль, консервированный в насыщенном сахарном сиропе, сухой продукт",70 кКал,70 кКал,70 кКал,70 кКал
"Фруктовый салат (ананас, папайя, банан и гуава), консервированный в насыщенном сиропе",86 кКал,86 кКал,86 кКал,86 кКал
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в водной заливке",30 кКал,30 кКал,30 кКал,30 кКал
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в легком сиропе",58 кКал,58 кКал,58 кКал,58 кКал
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в собственном соку",50 кКал,50 кКал,50 кКал,50 кКал
"Фруктовый салат (персик, груша, абрикос, ананас и вишня), консервированный в экстра-насыщенном сахарном сиропе",88 кКал,88 кКал,88 кКал,88 кКал
Хурма,67 кКал,67 кКал,67 кКал,67 кКал
Хурма виргинская (американская),127 кКал,127 кКал,127 кКал,127 кКал
Хурма восточная,70 кКал,70 кКал,70 кКал,70 кКал
"Хурма восточная, сушеная",274 кКал,274 кКал,274 кКал,274 кКал
Цукаты,322 кКал,322 кКал,322 кКал,322 кКал
Черемуха,46 кКал,46 кКал,46 кКал,46 кКал
"Черёмуха виргинская, северо-американская",162 кКал,162 кКал,162 кКал,162 кКал
Черешневый компот. Консервы,87 кКал,87 кКал,87 кКал,87 кКал
Черешня,63 кКал,63 кКал,63 кКал,63 кКал
Черешня,52 кКал,52 кКал,52 кКал,52 кКал
"Черешня, консервированная в водной заливке",46 кКал,46 кКал,46 кКал,46 кКал
"Черешня, консервированная в легком сиропе",67 кКал,67 кКал,67 кКал,67 кКал
"Черешня, консервированная в насыщенном сиропе",83 кКал,83 кКал,83 кКал,83 кКал
"Черешня, консервированная в насыщенном сиропе, сухой продукт",83 кКал,83 кКал,83 кКал,83 кКал
"Черешня, консервированная в собственном соку",54 кКал,54 кКал,54 кКал,54 кКал
"Черешня, консервированная в экстра-насыщенном сиропе",102 кКал,102 кКал,102 кКал,102 кКал
Черимойя,75 кКал,75 кКал,75 кКал,75 кКал
Черника,57 кКал,57 кКал,57 кКал,57 кКал
Черника,44 кКал,44 кКал,44 кКал,44 кКал
Черника дикая (Аляска),61 кКал,61 кКал,61 кКал,61 кКал
"Черника дикая замороженная, (Аляска)",44 кКал,44 кКал,44 кКал,44 кКал
"Черника дикая, замороженная",57 кКал,57 кКал,57 кКал,57 кКал
"Черника дикая, консервированная в насыщенном сиропе",107 кКал,107 кКал,107 кКал,107 кКал
"Черника сушеная, подслащенная",317 кКал,317 кКал,317 кКал,317 кКал
"Черника, замороженная, неподслащенная",51 кКал,51 кКал,51 кКал,51 кКал
"Черника, замороженная, подслащенная",85 кКал,85 кКал,85 кКал,85 кКал
"Черника, консервированная в легком сахарном сиропе, сухой продукт",88 кКал,88 кКал,88 кКал,88 кКал
"Черника, консервированная в насыщенном сахарном сиропе",88 кКал,88 кКал,88 кКал,88 кКал
"Черника, сырая (Аляска)",37 кКал,37 кКал,37 кКал,37 кКал
Чернослив (слива сушеная),240 кКал,240 кКал,240 кКал,240 кКал
Чернослив (слива сушеная),256 кКал,256 кКал,256 кКал,256 кКал
"Чернослив (слива сушеная), тушеный без добавления сахара",107 кКал,107 кКал,107 кКал,107 кКал
"Чернослив (слива сушеная), тушеный с добавлением сахара",124 кКал,124 кКал,124 кКал,124 кКал
Чернослив дегидрированный,339 кКал,339 кКал,339 кКал,339 кКал
"Чернослив дегидрированный, тушеный",113 кКал,113 кКал,113 кКал,113 кКал
Чернослив со взбитыми сливками по 2-116,281 кКал,281 кКал,281 кКал,281 кКал
"Чернослив, консервированный в насыщенном сахарном сиропе",105 кКал,105 кКал,105 кКал,105 кКал
Черносливовое пюре,257 кКал,257 кКал,257 кКал,257 кКал
Черносмородиновый джем,284 кКал,284 кКал,284 кКал,284 кКал
Шелковица,43 кКал,43 кКал,43 кКал,43 кКал
Шелковица,53 кКал,53 кКал,53 кКал,53 кКал
Шиповник,109 кКал,109 кКал,109 кКал,109 кКал
"Шиповник дикий, северо-американский",162 кКал,162 кКал,162 кКал,162 кКал
