Продукт,Калорийность,Белки,Жиры,Углеводы
Свинина жирная,491 кКал,491 кКал,491 кКал,491 кКал
"Свинина жирная, консервы",486 кКал,486 кКал,486 кКал,486 кКал
"Свинина засоленная, лопатка",269 кКал,269 кКал,269 кКал,269 кКал
"Свинина засоленная, лопатка, запечённая",287 кКал,287 кКал,287 кКал,287 кКал
Свинина мясная,357 кКал,357 кКал,357 кКал,357 кКал
"Свинина отварная, по 1-390",373 кКал,373 кКал,373 кКал,373 кКал
"Свинина соленая, нарезка для завтрака",388 кКал,388 кКал,388 кКал,388 кКал
"Свинина тушеная, консервы",349 кКал,349 кКал,349 кКал,349 кКал
"Свинина тушеная, по 1-422",235 кКал,235 кКал,235 кКал,235 кКал
"Свинина, верхняя часть окорока",182 кКал,182 кКал,182 кКал,182 кКал
"Свинина, верхняя часть окорока, запечённая",209 кКал,209 кКал,209 кКал,209 кКал
"Свинина, верхняя часть окорока, постное мясо",120 кКал,120 кКал,120 кКал,120 кКал
"Свинина, верхняя часть окорока, постное мясо, запечённая",165 кКал,165 кКал,165 кКал,165 кКал
"Свинина, верхняя часть филе (карбонат, или котлета свиная)",155 кКал,155 кКал,155 кКал,155 кКал
"Свинина, верхняя часть филе (карбонат, или котлета свиная), жареная на огне",196 кКал,196 кКал,196 кКал,196 кКал
"Свинина, верхняя часть филе (карбонат, или котлета свиная), жареная на сковороде",196 кКал,196 кКал,196 кКал,196 кКал
"Свинина, верхняя часть филе (карбонат, или котлета свиная), постное мясо",127 кКал,127 кКал,127 кКал,127 кКал
"Свинина, верхняя часть филе (карбонат, или котлета свиная), постное мясо, тушеная",170 кКал,170 кКал,170 кКал,170 кКал
"Свинина, верхняя часть филе (карбонат, или котлета свиная), только мясо, жареная на огне",173 кКал,173 кКал,173 кКал,173 кКал
"Свинина, верхняя часть филе (карбонат, или котлета свиная), только мясо, жареная на сковороде",172 кКал,172 кКал,172 кКал,172 кКал
"Свинина, верхняя часть филе (карбонат, или котлета свиная), тушеная",200 кКал,200 кКал,200 кКал,200 кКал
"Свинина, верхняя часть филе (карбонат)",166 кКал,166 кКал,166 кКал,166 кКал
"Свинина, верхняя часть филе (карбонат), запечённая",192 кКал,192 кКал,192 кКал,192 кКал
"Свинина, верхняя часть филе (карбонат), постное мясо",132 кКал,132 кКал,132 кКал,132 кКал
"Свинина, верхняя часть филе (карбонат), постное мясо, запечённая",173 кКал,173 кКал,173 кКал,173 кКал
"Свинина, верхняя часть филе (карбонат), с добавлением раствора",171 кКал,171 кКал,171 кКал,171 кКал
"Свинина, верхняя часть филе (карбонат), с добавлением раствора, жареная на огне",198 кКал,198 кКал,198 кКал,198 кКал
"Свинина, верхняя часть филе (карбонат), с добавлением раствора, постное мясо",117 кКал,117 кКал,117 кКал,117 кКал
"Свинина, верхняя часть филе (карбонат), с добавлением раствора, постное мясо, жареная на огне",170 кКал,170 кКал,170 кКал,170 кКал
"Свинина, ветчина из плечевой части,  постное мясо, запечённая",170 кКал,170 кКал,170 кКал,170 кКал
"Свинина, ветчина из плечевой части, запечённая",280 кКал,280 кКал,280 кКал,280 кКал
"Свинина, вырезка",120 кКал,120 кКал,120 кКал,120 кКал
"Свинина, вырезка",142 кКал,142 кКал,142 кКал,142 кКал
"Свинина, вырезка, жареная на огне",201 кКал,201 кКал,201 кКал,201 кКал
"Свинина, вырезка, запечённая",147 кКал,147 кКал,147 кКал,147 кКал
"Свинина, вырезка, постное мясо",109 кКал,109 кКал,109 кКал,109 кКал
"Свинина, вырезка, постное мясо, жареная на огне",187 кКал,187 кКал,187 кКал,187 кКал
"Свинина, вырезка, постное мясо, запечённая",143 кКал,143 кКал,143 кКал,143 кКал
"Свинина, грудинка мякоть",602 кКал,602 кКал,602 кКал,602 кКал
"Свинина, грудно-плечевая чать, без костей, мясо с жиром, жареная на огне",162 кКал,162 кКал,162 кКал,162 кКал
"Свинина, грудно-плечевая чать, без костей, мясо с жиром, сырая",127 кКал,127 кКал,127 кКал,127 кКал
"Свинина, гуляш (из корейки и лопатки), постное мясо",144 кКал,144 кКал,144 кКал,144 кКал
"Свинина, гуляш (из корейки и лопатки), постное мясо, приготовленное",211 кКал,211 кКал,211 кКал,211 кКал
"Свинина, гуляш (из корейки и лопатки), приготовленный",235 кКал,235 кКал,235 кКал,235 кКал
"Свинина, жир отделённый от ветчины",579 кКал,579 кКал,579 кКал,579 кКал
"Свинина, жир отделённый от ветчины запечённый",591 кКал,591 кКал,591 кКал,591 кКал
"Свинина, задняя рулька",193 кКал,193 кКал,193 кКал,193 кКал
"Свинина, задняя рулька, запечённая",232 кКал,232 кКал,232 кКал,232 кКал
"Свинина, задняя рулька, постное мясо",119 кКал,119 кКал,119 кКал,119 кКал
"Свинина, задняя рулька, постное мясо, запечённая",175 кКал,175 кКал,175 кКал,175 кКал
"Свинина, корейка в целом",198 кКал,198 кКал,198 кКал,198 кКал
"Свинина, корейка в целом, жареная на огне",242 кКал,242 кКал,242 кКал,242 кКал
"Свинина, корейка в целом, запечённая",248 кКал,248 кКал,248 кКал,248 кКал
"Свинина, корейка в целом, постное мясо",143 кКал,143 кКал,143 кКал,143 кКал
"Свинина, корейка в целом, постное мясо, жареная",204 кКал,204 кКал,204 кКал,204 кКал
"Свинина, корейка в целом, постное мясо, жареная на огне",210 кКал,210 кКал,210 кКал,210 кКал
"Свинина, корейка в целом, постное мясо, запечённая",209 кКал,209 кКал,209 кКал,209 кКал
"Свинина, корейка в целом, тушеная",239 кКал,239 кКал,239 кКал,239 кКал
"Свинина, корейка мякоть",384 кКал,384 кКал,384 кКал,384 кКал
"Свинина, кострец",133 кКал,133 кКал,133 кКал,133 кКал
"Свинина, кострец на кости",168 кКал,168 кКал,168 кКал,168 кКал
"Свинина, кострец на кости, жареный на огне",222 кКал,222 кКал,222 кКал,222 кКал
"Свинина, кострец на кости, запечённый",230 кКал,230 кКал,230 кКал,230 кКал
"Свинина, кострец на кости, постное мясо, жареная на огне",174 кКал,174 кКал,174 кКал,174 кКал
"Свинина, кострец на кости, постное мясо, запечённый",204 кКал,204 кКал,204 кКал,204 кКал
"Свинина, кострец на кости, постное мясо, тушеный",195 кКал,195 кКал,195 кКал,195 кКал
"Свинина, кострец на кости, тушеный",234 кКал,234 кКал,234 кКал,234 кКал
"Свинина, кострец на кости,, постное мясо",129 кКал,129 кКал,129 кКал,129 кКал
"Свинина, кострец, жареный на огне",170 кКал,170 кКал,170 кКал,170 кКал
"Свинина, кострец, запечённый",192 кКал,192 кКал,192 кКал,192 кКал
"Свинина, кострец, постное мясо, жареный на огне",161 кКал,161 кКал,161 кКал,161 кКал
"Свинина, кострец, постное мясо, запечённый",178 кКал,178 кКал,178 кКал,178 кКал
