Продукт,Калорийность,Белки,Жиры,Углеводы
"Суккоташ (смесь кукурузы и лимской фасоли), с цельными зарнами кукурузы, консервированная",63 кКал,63 кКал,63 кКал,63 кКал
"Суккоташ (смесь кукурузы и лимской фасоли), сырая",99 кКал,99 кКал,99 кКал,99 кКал
Темпе,192 кКал,192 кКал,192 кКал,192 кКал
"Темпе, приготовленный",195 кКал,195 кКал,195 кКал,195 кКал
Тофу йогурт,94 кКал,94 кКал,94 кКал,94 кКал
Тофу ферментированный (fuyu),116 кКал,116 кКал,116 кКал,116 кКал
"Тофу ферментированный (fuyu), приготовленный с сульфатом кальция",116 кКал,116 кКал,116 кКал,116 кКал
"Тофу, жареный",270 кКал,270 кКал,270 кКал,270 кКал
"Тофу, жареный, приготовлен с сульфатом кальция",270 кКал,270 кКал,270 кКал,270 кКал
"Тофу, мягкий, приготовленный с сульфатом кальция и хлоридом магния (нигари)",61 кКал,61 кКал,61 кКал,61 кКал
"Тофу, окара (соевый жмых)",76 кКал,76 кКал,76 кКал,76 кКал
"Тофу, плотый, приготовленный с сульфатом кальция и хлоридом магния (нигари)",78 кКал,78 кКал,78 кКал,78 кКал
"Тофу, сушено-замороженный (Коядофу)",477 кКал,477 кКал,477 кКал,477 кКал
"Тофу, сушено-замороженный (Коядофу), приготовленный с сульфатом кальция",470 кКал,470 кКал,470 кКал,470 кКал
"Тофу, сырой, обычный, 8% белка, приготовленный с сульфатом кальция",76 кКал,76 кКал,76 кКал,76 кКал
"Тофу, сырой, твёрдый, приготовленный с сульфатом кальция",144 кКал,144 кКал,144 кКал,144 кКал
"Тофу, твёрдый 10% белка, приготовленный с сульфатом кальция и хлоридом магния (нигари)",83 кКал,83 кКал,83 кКал,83 кКал
"Тофу, твердый 12,7% белка, приготовленный с сульфатом кальция и хлоридом магния (нигари)",145 кКал,145 кКал,145 кКал,145 кКал
Фалафель домашнего приготовления,333 кКал,333 кКал,333 кКал,333 кКал
Фасолевый отвар из-под тушеной фасоли кидни,47 кКал,47 кКал,47 кКал,47 кКал
"Фасоль белая (великие северные бобы), зрелая",339 кКал,339 кКал,339 кКал,339 кКал
"Фасоль белая (великие северные бобы), зрелая, вареная, без соли",118 кКал,118 кКал,118 кКал,118 кКал
"Фасоль белая (великие северные бобы), зрелая, вареная, с солью",118 кКал,118 кКал,118 кКал,118 кКал
"Фасоль белая (великие северные бобы), зрелая, консервированная",114 кКал,114 кКал,114 кКал,114 кКал
"Фасоль белая (великие северные бобы), зрелая, консервированная, с пониженным содержанием натрия",114 кКал,114 кКал,114 кКал,114 кКал
"Фасоль белая Нэви, зрелые семена",337 кКал,337 кКал,337 кКал,337 кКал
"Фасоль белая Нэви, зрелые семена, вареная, без доб. соли",140 кКал,140 кКал,140 кКал,140 кКал
"Фасоль белая Нэви, зрелые семена, вареная, с доб. соли",140 кКал,140 кКал,140 кКал,140 кКал
"Фасоль белая Нэви, зрелые семена, консервированная",113 кКал,113 кКал,113 кКал,113 кКал
"Фасоль белая Нэви, проросшая",67 кКал,67 кКал,67 кКал,67 кКал
"Фасоль белая Нэви, проросшая, вареная без соли",78 кКал,78 кКал,78 кКал,78 кКал
"Фасоль белая Нэви, проросшая, вареная с солью",78 кКал,78 кКал,78 кКал,78 кКал
"Фасоль белая, зрелые семена",333 кКал,333 кКал,333 кКал,333 кКал
"Фасоль белая, зрелые семена, вареная, без соли",139 кКал,139 кКал,139 кКал,139 кКал
"Фасоль белая, зрелые семена, вареная, с солью",139 кКал,139 кКал,139 кКал,139 кКал
"Фасоль белая, зрелые семена, консервированная",114 кКал,114 кКал,114 кКал,114 кКал
"Фасоль белая, мелкая, зрелые семена",336 кКал,336 кКал,336 кКал,336 кКал
"Фасоль белая, мелкая, зрелые семена, вареная, без соли",142 кКал,142 кКал,142 кКал,142 кКал
"Фасоль белая, мелкая, зрелые семена, вареная, с солью",142 кКал,142 кКал,142 кКал,142 кКал
"Фасоль желтая, зрелые семена",345 кКал,345 кКал,345 кКал,345 кКал
"Фасоль желтая, зрелые семена, вареная, без соли",144 кКал,144 кКал,144 кКал,144 кКал
"Фасоль желтая, зрелые семена, вареная, с солью",144 кКал,144 кКал,144 кКал,144 кКал
"Фасоль кидни красная, зрелая",337 кКал,337 кКал,337 кКал,337 кКал
