Продукт,Калорийность,Белки,Жиры,Углеводы
Рисовый хлеб с отрубями,243 кКал,243 кКал,243 кКал,243 кКал
"Рисовый хлеб с отрубями, тосты",264 кКал,264 кКал,264 кКал,264 кКал
Рогалики с изюмом и корицей,274 кКал,274 кКал,274 кКал,274 кКал
Рогалики с изюмом и корицей жареные,294 кКал,294 кКал,294 кКал,294 кКал
Рогалики с овсяными отрубями,255 кКал,255 кКал,255 кКал,255 кКал
"Рогалики, простые, жареные, обогащенные, с пропионатом кальция (включает лук, мак, сезам),",287 кКал,287 кКал,287 кКал,287 кКал
"Рогалики, простые, обогащенные пропионатом кальция (включает лук, мак, сезам)",257 кКал,257 кКал,257 кКал,257 кКал
Рожки к чаю,312 кКал,312 кКал,312 кКал,312 кКал
Рожки обсыпные сдобные,314 кКал,314 кКал,314 кКал,314 кКал
Сдоба выборгская с маком,304 кКал,304 кКал,304 кКал,304 кКал
Сдоба выборгская с повидлом,293 кКал,293 кКал,293 кКал,293 кКал
Сдоба обыкновенная,301 кКал,301 кКал,301 кКал,301 кКал
"Сладкая выпечка с фруктами и орехами, которую едят на Рождество, на дрожжах",367 кКал,367 кКал,367 кКал,367 кКал
"Сладкие рулетики с корицей и изюмом, промышленного изготовления",372 кКал,372 кКал,372 кКал,372 кКал
Слойка,558 кКал,558 кКал,558 кКал,558 кКал
"Слойка, замороженная, готовая к выпеканию",551 кКал,551 кКал,551 кКал,551 кКал
"Сода пищевая, разрыхлитель для выпечки",0 кКал,0 кКал,0 кКал,0 кКал
Соломка сладкая,372 кКал,372 кКал,372 кКал,372 кКал
Сухари армейские из обойной муки,304 кКал,304 кКал,304 кКал,304 кКал
"Сухари армейские, пшеничные 1 сорта",330 кКал,330 кКал,330 кКал,330 кКал
"Сухари армейские, пшеничные 2 сорта",323 кКал,323 кКал,323 кКал,323 кКал
"Сухари армейские, ржано-пшеничные",311 кКал,311 кКал,311 кКал,311 кКал
"Сухари армейские, ржаные",294 кКал,294 кКал,294 кКал,294 кКал
Сухари ванильные из пшеничной муки высшего сорта,407 кКал,407 кКал,407 кКал,407 кКал
Сухари горчичные из пшеничной муки высшего сорта,386 кКал,386 кКал,386 кКал,386 кКал
Сухари дорожные из пшеничной муки 1 сорта,341 кКал,341 кКал,341 кКал,341 кКал
Сухари лимонные из пшеничной муки высшего сорта,388 кКал,388 кКал,388 кКал,388 кКал
Сухари московские из пшеничной муки 1 сорта,360 кКал,360 кКал,360 кКал,360 кКал
Сухари сливочные,399 кКал,399 кКал,399 кКал,399 кКал
Сухари украинские из пшеничной муки высшего сорта,385 кКал,385 кКал,385 кКал,385 кКал
Сушки простые из муки 1 сорта,331 кКал,331 кКал,331 кКал,331 кКал
Сушки простые из муки в/с,339 кКал,339 кКал,339 кКал,339 кКал
