Продукт,Калорийность,Белки,Жиры,Углеводы
"Молоко 1% жирности, с витаминами A и D",42 кКал,42 кКал,42 кКал,42 кКал
"Молоко 1% жирности, топленое",40 кКал,40 кКал,40 кКал,40 кКал
"Молоко 2,5% жирности, пастеризованное",54 кКал,54 кКал,54 кКал,54 кКал
"Молоко 2,5% жирности, стерилизованное",54 кКал,54 кКал,54 кКал,54 кКал
Молоко 2% жирности,50 кКал,50 кКал,50 кКал,50 кКал
"Молоко 2% жирности, высокобелковое",56 кКал,56 кКал,56 кКал,56 кКал
"Молоко 2% жирности, высокобелковое, с витаминами A и D",56 кКал,56 кКал,56 кКал,56 кКал
"Молоко 2% жирности, с витаминами A и D",50 кКал,50 кКал,50 кКал,50 кКал
"Молоко 2% жирности, с добавлением сухого обезжиренного молока, с витаминами A и D",51 кКал,51 кКал,51 кКал,51 кКал
"Молоко 3,2% жирности, пастеризованное",60 кКал,60 кКал,60 кКал,60 кКал
"Молоко 3,2% жирности, стерилизованное",60 кКал,60 кКал,60 кКал,60 кКал
"Молоко 3,25% жирности",61 кКал,61 кКал,61 кКал,61 кКал
"Молоко 3,25% жирности, с витамином D",61 кКал,61 кКал,61 кКал,61 кКал
"Молоко 3,5% жирности, пастеризованное",62 кКал,62 кКал,62 кКал,62 кКал
"Молоко 3,5% жирности, со сниженным содержанием натрия",61 кКал,61 кКал,61 кКал,61 кКал
"Молоко 3,5% жирности, стерилизованное",63 кКал,63 кКал,63 кКал,63 кКал
"Молоко 3% жирности, стерилизованное",58 кКал,58 кКал,58 кКал,58 кКал
"Молоко 4% жирности, топленое",67 кКал,67 кКал,67 кКал,67 кКал
"Молоко 6% жирности, топленое",84 кКал,84 кКал,84 кКал,84 кКал
Молоко буйволиное,106 кКал,106 кКал,106 кКал,106 кКал
Молоко верблюжье,"81,5 кКал","81,5 кКал","81,5 кКал","81,5 кКал"
Молоко грудное,70 кКал,70 кКал,70 кКал,70 кКал
Молоко индийского буйвола,97 кКал,97 кКал,97 кКал,97 кКал
Молоко кобылье,41 кКал,41 кКал,41 кКал,41 кКал
Молоко козье,68 кКал,68 кКал,68 кКал,68 кКал
"Молоко козье, с витамином D",69 кКал,69 кКал,69 кКал,69 кКал
"Молоко коровье сырое 3,6% жирности, фермерское (непастеризованное, нестрерилизованное, некипяченое)",65 кКал,65 кКал,65 кКал,65 кКал
"Молоко коровье сырое 3,7% жирности, фермерское",64 кКал,64 кКал,64 кКал,64 кКал
Молоко обезжиренное,35 кКал,35 кКал,35 кКал,35 кКал
"Молоко обезжиренное, высокобелковое, с витаминами A и D",41 кКал,41 кКал,41 кКал,41 кКал
"Молоко обезжиренное, обогащенное кальцием",35 кКал,35 кКал,35 кКал,35 кКал
"Молоко обезжиренное, пастеризованное",32 кКал,32 кКал,32 кКал,32 кКал
"Молоко обезжиренное, с витаминами A и D",34 кКал,34 кКал,34 кКал,34 кКал
"Молоко обезжиренное, с добавлением сухого обезжиренного молока, с витаминами A и D",37 кКал,37 кКал,37 кКал,37 кКал
"Молоко обезжиренное, топленое",32 кКал,32 кКал,32 кКал,32 кКал
Молоко овечье,108 кКал,108 кКал,108 кКал,108 кКал
Молоко овечье,111 кКал,111 кКал,111 кКал,111 кКал
Молоко с гидрогенизированным растительным маслом,63 кКал,63 кКал,63 кКал,63 кКал
Молоко с маслами лауриновой кислоты,63 кКал,63 кКал,63 кКал,63 кКал
Молоко сгущенное без сахара 2% жирности с витаминами A и D,107 кКал,107 кКал,107 кКал,107 кКал
"Молоко сгущенное без сахара 7,5% жирности, с витамином D",134 кКал,134 кКал,134 кКал,134 кКал
"Молоко сгущенное без сахара 7,5% жирности, с витамином А",134 кКал,134 кКал,134 кКал,134 кКал
"Молоко сгущенное без сахара 7,8% жирности, стерилизованное",138 кКал,138 кКал,138 кКал,138 кКал
"Молоко сгущенное без сахара 8,3% жирности, стерилизованное",144 кКал,144 кКал,144 кКал,144 кКал
"Молоко сгущенное без сахара 9,5% жирности, стерилизованное",162 кКал,162 кКал,162 кКал,162 кКал
"Молоко сгущенное без сахара обезжиренное, с витаминами A и D",78 кКал,78 кКал,78 кКал,78 кКал
"Молоко сгущенное без сахара обезжиренное, стерилизованное",71 кКал,71 кКал,71 кКал,71 кКал
"Молоко сгущенное с сахаром 2,5% жирности",271 кКал,271 кКал,271 кКал,271 кКал
Молоко сгущенное с сахаром 5% жирности,295 кКал,295 кКал,295 кКал,295 кКал
"Молоко сгущенное с сахаром 8,5% жирности, цельное",328 кКал,328 кКал,328 кКал,328 кКал
"Молоко сгущенное с сахаром 8,7% жирности",321 кКал,321 кКал,321 кКал,321 кКал
"Молоко сгущенное с сахаром, ""Славянское""",261 кКал,261 кКал,261 кКал,261 кКал
"Молоко сгущенное с сахаром, обезжиренное",259 кКал,259 кКал,259 кКал,259 кКал
"Молоко сухое 15% жирности, полуобезжиренное",432 кКал,432 кКал,432 кКал,432 кКал
"Молоко сухое 25% жирности, цельное",483 кКал,483 кКал,483 кКал,483 кКал
"Молоко сухое 26,7% жирности, цельное",496 кКал,496 кКал,496 кКал,496 кКал
"Молоко сухое 26,7% жирности, цельное, с витамином D",496 кКал,496 кКал,496 кКал,496 кКал
Молоко сухое обезжиренное,362 кКал,362 кКал,362 кКал,362 кКал
Молоко сухое обезжиренное,362 кКал,362 кКал,362 кКал,362 кКал
Молоко сухое обезжиренное со сниженным содержанием кальцием,354 кКал,354 кКал,354 кКал,354 кКал
"Молоко сухое обезжиренное, быстрорастворимое",358 кКал,358 кКал,358 кКал,358 кКал
"Молоко сухое обезжиренное, быстрорастворимое, с витаминами A и D",358 кКал,358 кКал,358 кКал,358 кКал
"Молоко сухое обезжиренное, с витаминами A и D",362 кКал,362 кКал,362 кКал,362 кКал
"Молоко, сгущеное цельное, без доб. витаминов A и D, 8%, консерв.",135 кКал,135 кКал,135 кКал,135 кКал
"Молочный батончик 1,5% жирности, сладкий",147 кКал,147 кКал,147 кКал,147 кКал
"Молочный коктейль, густой ванильный",112 кКал,112 кКал,112 кКал,112 кКал
"Молочный коктейль, густой шоколадный",119 кКал,119 кКал,119 кКал,119 кКал
"Молочный напиток шоколадный 1,1% жирности с витаминами A и D",64 кКал,64 кКал,64 кКал,64 кКал
"Молочный напиток шоколадный 1,9% жирности, с витаминами A и D",76 кКал,76 кКал,76 кКал,76 кКал
"Молочный напиток шоколадный 1% жирности, со сниженным содержанием сахара",57 кКал,57 кКал,57 кКал,57 кКал
"Молочный напиток шоколадный 3,4% жирности, с витаминами A и D",83 кКал,83 кКал,83 кКал,83 кКал
