Продукт,Калорийность,Белки,Жиры,Углеводы
"Торт ""Медовый""","322,7 кКал","322,7 кКал","322,7 кКал","322,7 кКал"
"Торт ""Мужской идеал""","307,8 кКал","307,8 кКал","307,8 кКал","307,8 кКал"
"Торт ""Негр""","268,7 кКал","268,7 кКал","268,7 кКал","268,7 кКал"
"Торт ""Почти ""Прага""","350,9 кКал","350,9 кКал","350,9 кКал","350,9 кКал"
"Торт ""Прага""","283,5 кКал","283,5 кКал","283,5 кКал","283,5 кКал"
"Торт ""Снежная горка""","150,1 кКал","150,1 кКал","150,1 кКал","150,1 кКал"
"Торт ""Шоколадная мазурка""","301,4 кКал","301,4 кКал","301,4 кКал","301,4 кКал"
Торт бисквитный с орехами,"355,3 кКал","355,3 кКал","355,3 кКал","355,3 кКал"
Торт Зебра»,"270,8 кКал","270,8 кКал","270,8 кКал","270,8 кКал"
Торт из картофеля с творогом,169 кКал,169 кКал,169 кКал,169 кКал
Торт из тыквы,"212,5 кКал","212,5 кКал","212,5 кКал","212,5 кКал"
Торт картофельный,"190,5 кКал","190,5 кКал","190,5 кКал","190,5 кКал"
Торт печёночный,200 кКал,200 кКал,200 кКал,200 кКал
Торт Прага»,"326,4 кКал","326,4 кКал","326,4 кКал","326,4 кКал"
Торт Черный принц»,"14,8 кКал","14,8 кКал","14,8 кКал","14,8 кКал"
Тыква с орехами,"111,4 кКал","111,4 кКал","111,4 кКал","111,4 кКал"
Тыква с ревенем,"51,7 кКал","51,7 кКал","51,7 кКал","51,7 кКал"
Тыква с фруктами,"81,1 кКал","81,1 кКал","81,1 кКал","81,1 кКал"
"Тыква, запеченная с фруктами, по-ижевски (удмуртское национальное блюдо)","106,8 кКал","106,8 кКал","106,8 кКал","106,8 кКал"
Тыквенный крем,"144,8 кКал","144,8 кКал","144,8 кКал","144,8 кКал"
Фаршированные яблоки,"58,1 кКал","58,1 кКал","58,1 кКал","58,1 кКал"
Фруктовый маседуан,"205,3 кКал","205,3 кКал","205,3 кКал","205,3 кКал"
Холодное из абрикосов,127 кКал,127 кКал,127 кКал,127 кКал
Чернослив со сливками или сметаной взбитыми,"271,8 кКал","271,8 кКал","271,8 кКал","271,8 кКал"
Шоколадное мороженое,"268,7 кКал","268,7 кКал","268,7 кКал","268,7 кКал"
Шоколадный крем,"272,4 кКал","272,4 кКал","272,4 кКал","272,4 кКал"
Шоколадный пудинг,"192,4 кКал","192,4 кКал","192,4 кКал","192,4 кКал"
Шоколадный соус,"139,9 кКал","139,9 кКал","139,9 кКал","139,9 кКал"
Шульо мелна (блины овсяные - марийское национальное блюдо),"195,4 кКал","195,4 кКал","195,4 кКал","195,4 кКал"
Яблоки в грильяже,"146,1 кКал","146,1 кКал","146,1 кКал","146,1 кКал"
Яблоки в желе,"111,1 кКал","111,1 кКал","111,1 кКал","111,1 кКал"
Яблоки печеные,"65,8 кКал","65,8 кКал","65,8 кКал","65,8 кКал"
Яблоки печеные,"169,1 кКал","169,1 кКал","169,1 кКал","169,1 кКал"
Яблоки печеные с брусникой,"105,8 кКал","105,8 кКал","105,8 кКал","105,8 кКал"
Яблоки со взбитыми сливками,"113,9 кКал","113,9 кКал","113,9 кКал","113,9 кКал"
"Яблоки, фаршированные морковью","78,4 кКал","78,4 кКал","78,4 кКал","78,4 кКал"
Яблочно-сливочный соус,"97,1 кКал","97,1 кКал","97,1 кКал","97,1 кКал"
Яблочный крем,"112,8 кКал","112,8 кКал","112,8 кКал","112,8 кКал"
Ягодный мусс,167 кКал,167 кКал,167 кКал,167 кКал
Яичный мусс,"142,3 кКал","142,3 кКал","142,3 кКал","142,3 кКал"
