Продукт,Калорийность,Белки,Жиры,Углеводы
"Фаст-фуд, английский кекс, с яйцом, сыром и сосиской",286 кКал,286 кКал,286 кКал,286 кКал
"Фаст-фуд, бисквит с ветчиной",342 кКал,342 кКал,342 кКал,342 кКал
"Фаст-фуд, бисквит с сосиской",371 кКал,371 кКал,371 кКал,371 кКал
"Фаст-фуд, бисквит с яйцом и беконом",305 кКал,305 кКал,305 кКал,305 кКал
"Фаст-фуд, бисквит с яйцом и ветчиной",233 кКал,233 кКал,233 кКал,233 кКал
"Фаст-фуд, бисквит с яйцом и сосиской",312 кКал,312 кКал,312 кКал,312 кКал
"Фаст-фуд, бисквит с яйцом, сыром и сосиской",301 кКал,301 кКал,301 кКал,301 кКал
"Фаст-фуд, бублик с отбивной, яйцом и сыром, приправленный",295 кКал,295 кКал,295 кКал,295 кКал
"Фаст-фуд, бублик со стейком, яйцом и сыром, приправленный",282 кКал,282 кКал,282 кКал,282 кКал
"Фаст-фуд, буррито с бобами",206 кКал,206 кКал,206 кКал,206 кКал
"Фаст-фуд, буррито с бобами и мясом",191 кКал,191 кКал,191 кКал,191 кКал
"Фаст-фуд, буррито с бобами и сыром",205 кКал,205 кКал,205 кКал,205 кКал
"Фаст-фуд, буррито с бобами, сыром и говядиной",180 кКал,180 кКал,180 кКал,180 кКал
"Фаст-фуд, гамбургер, большой, с одной котлетой, приправленный",256 кКал,256 кКал,256 кКал,256 кКал
"Фаст-фуд, гамбургер, двойной, с большой котлетой, овощами и майонезом, приправленный",252 кКал,252 кКал,252 кКал,252 кКал
"Фаст-фуд, гамбургер, двойной, с одной стандартной котлетой, с приправами и фирменным соусом",259 кКал,259 кКал,259 кКал,259 кКал
"Фаст-фуд, гамбургер, с одной большой котлетой, овощами и майонезом, приправленный",226 кКал,226 кКал,226 кКал,226 кКал
"Фаст-фуд, гамбургер, с одной стандартной котлетой, неприправленный",297 кКал,297 кКал,297 кКал,297 кКал
"Фаст-фуд, гамбургер, с одной стандартной котлетой, приправленный",263 кКал,263 кКал,263 кКал,263 кКал
"Фаст-фуд, гренки по-французски",340 кКал,340 кКал,340 кКал,340 кКал
"Фаст-фуд, драники",272 кКал,272 кКал,272 кКал,272 кКал
"Фаст-фуд, картошка фри, жаренная в растительном масле",312 кКал,312 кКал,312 кКал,312 кКал
"Фаст-фуд, картошка-пюре",89 кКал,89 кКал,89 кКал,89 кКал
"Фаст-фуд, креветки, обжаренные в панировке",308 кКал,308 кКал,308 кКал,308 кКал
"Фаст-фуд, круассан с яйцом, сыром и беконом",289 кКал,289 кКал,289 кКал,289 кКал
"Фаст-фуд, круассан с яйцом, сыром и ветчиной",261 кКал,261 кКал,261 кКал,261 кКал
"Фаст-фуд, круассан с яйцом, сыром и сосиской",308 кКал,308 кКал,308 кКал,308 кКал
"Фаст-фуд, кукурузные оладьи",296 кКал,296 кКал,296 кКал,296 кКал
"Фаст-фуд, куриное филе",271 кКал,271 кКал,271 кКал,271 кКал
"Фаст-фуд, курица, обжаренная в панировке, без костей, неприправленная",307 кКал,307 кКал,307 кКал,307 кКал
"Фаст-фуд, луковые кольца, обжаренные в кляре",411 кКал,411 кКал,411 кКал,411 кКал
"Фаст-фуд, миниатюрные коричные рулеты",403 кКал,403 кКал,403 кКал,403 кКал
"Фаст-фуд, мягкое ванильное молочное мороженое в рожке",163 кКал,163 кКал,163 кКал,163 кКал
"Фаст-фуд, начо с сыром",343 кКал,343 кКал,343 кКал,343 кКал
"Фаст-фуд, начо с сыром, бобами, говяжьим фаршем и перцем",219 кКал,219 кКал,219 кКал,219 кКал
"Фаст-фуд, пицца с мясом и овощами, на стандартном корже, 14 дюймов",244 кКал,244 кКал,244 кКал,244 кКал
"Фаст-фуд, пицца с паперони, на стандартном корже, 14 дюймов",282 кКал,282 кКал,282 кКал,282 кКал
"Фаст-фуд, пицца с паперони, на толстом корже, 14 дюймов",287 кКал,287 кКал,287 кКал,287 кКал
"Фаст-фуд, пицца с сыром, на стандартном корже, 14 дюймов",266 кКал,266 кКал,266 кКал,266 кКал
"Фаст-фуд, пицца с сыром, на толстом корже, 14 дюймов",271 кКал,271 кКал,271 кКал,271 кКал
"Фаст-фуд, пицца с сыром, на тонком корже, 14 дюймов",302 кКал,302 кКал,302 кКал,302 кКал
"Фаст-фуд, пломбир с горячей помадкой",180 кКал,180 кКал,180 кКал,180 кКал
"Фаст-фуд, пломбир с карамелью",196 кКал,196 кКал,196 кКал,196 кКал
"Фаст-фуд, пломбир с клубникой",175 кКал,175 кКал,175 кКал,175 кКал
"Фаст-фуд, рыбный сэндвич с соусом тартар",257 кКал,257 кКал,257 кКал,257 кКал
"Фаст-фуд, рыбный сэндвич с соусом тартар и сыром",279 кКал,279 кКал,279 кКал,279 кКал
"Фаст-фуд, салат из капусты",153 кКал,153 кКал,153 кКал,153 кКал
"Фаст-фуд, сэндвич ""Субмарина"" с мясной нарезкой",213 кКал,213 кКал,213 кКал,213 кКал
"Фаст-фуд, сэндвич ""Субмарина"" с ростбифом",190 кКал,190 кКал,190 кКал,190 кКал
"Фаст-фуд, сэндвич ""Субмарина"" с салатом из тунца",228 кКал,228 кКал,228 кКал,228 кКал
"Фаст-фуд, сэндвич с куриным филе, неприправленный",283 кКал,283 кКал,283 кКал,283 кКал
"Фаст-фуд, сэндвич с поджаренным куриным филе, латуком, томатами и майонезом",276 кКал,276 кКал,276 кКал,276 кКал
"Фаст-фуд, сэндвич с ростбифом, неприправленный",244 кКал,244 кКал,244 кКал,244 кКал
"Фаст-фуд, тако",226 кКал,226 кКал,226 кКал,226 кКал
"Фаст-фуд, чизбургер, двойной, с большой котлетой, овощами и майонезом, приправленный",253 кКал,253 кКал,253 кКал,253 кКал
"Фаст-фуд, чизбургер, двойной, с большой котлетой, приправленный",272 кКал,272 кКал,272 кКал,272 кКал
"Фаст-фуд, чизбургер, двойной, со стандартной котлетой, приправленный",282 кКал,282 кКал,282 кКал,282 кКал
"Фаст-фуд, чизбургер, двойной, со стандартной котлетой, с приправами и фирменным соусом",261 кКал,261 кКал,261 кКал,261 кКал
"Фаст-фуд, чизбургер, с большой котлетой, неприправленный",310 кКал,310 кКал,310 кКал,310 кКал
"Фаст-фуд, чизбургер, с большой котлетой, овощами и майонезом, приправленный",268 кКал,268 кКал,268 кКал,268 кКал
"Фаст-фуд, чизбургер, с большой котлетой, приправленный",269 кКал,269 кКал,269 кКал,269 кКал
"Фаст-фуд, чизбургер, со стандартной котлетой и овощами, приправленный",254 кКал,254 кКал,254 кКал,254 кКал
"Фаст-фуд, чизбургер, со стандартной котлетой, неприправленный",308 кКал,308 кКал,308 кКал,308 кКал
"Фаст-фуд, чизбургер, со стандартной котлетой, приправленный",270 кКал,270 кКал,270 кКал,270 кКал
"Фаст-фуд, чизбургер, стандартный, с двумя котлетами и булочками, неприправленный",305 кКал,305 кКал,305 кКал,305 кКал
"Фаст-фуд, яичница-болтунья",212 кКал,212 кКал,212 кКал,212 кКал
