Продукт,Калорийность,Белки,Жиры,Углеводы
Перловая крупа,352 кКал,352 кКал,352 кКал,352 кКал
"Перловая крупа, приготовленная",123 кКал,123 кКал,123 кКал,123 кКал
"Полба (спельта), неприготовленная",338 кКал,338 кКал,338 кКал,338 кКал
"Полба (спельта), приготовленная",127 кКал,127 кКал,127 кКал,127 кКал
"Просо, зерно продовольственное",298 кКал,298 кКал,298 кКал,298 кКал
Пудинг рисовый по 1-292,202 кКал,202 кКал,202 кКал,202 кКал
Пшеница мягкая белозёрная,340 кКал,340 кКал,340 кКал,340 кКал
Пшеница мягкая краснозёрная озимая,331 кКал,331 кКал,331 кКал,331 кКал
"Пшеница мягкая, зерно",305 кКал,305 кКал,305 кКал,305 кКал
Пшеница проросшая,198 кКал,198 кКал,198 кКал,198 кКал
Пшеница стекловидная белозёрная,342 кКал,342 кКал,342 кКал,342 кКал
Пшеница стекловидная краснозёрная озимая,327 кКал,327 кКал,327 кКал,327 кКал
Пшеница стекловидная краснозёрная яровая,329 кКал,329 кКал,329 кКал,329 кКал
"Пшеница твердая, зерно",339 кКал,339 кКал,339 кКал,339 кКал
"Пшеница твердая, зерно",304 кКал,304 кКал,304 кКал,304 кКал
"Пшеничная каша жидкая, проготовленная на воде, без соли",62 кКал,62 кКал,62 кКал,62 кКал
"Пшеничная каша жидкая, проготовленная на воде, с солью",62 кКал,62 кКал,62 кКал,62 кКал
"Пшеничная каша рассыпчатая из крупы «Полтавская», по 1-272",153 кКал,153 кКал,153 кКал,153 кКал
Пшеничная клейковина (глютен),370 кКал,370 кКал,370 кКал,370 кКал
Пшеничная крупа,342 кКал,342 кКал,342 кКал,342 кКал
"Пшеничная крупа ""Артек""",329 кКал,329 кКал,329 кКал,329 кКал
"Пшеничная крупа ""Полтавская""",329 кКал,329 кКал,329 кКал,329 кКал
Пшеничная мука высшего сорта из мягкой пшеницы,334 кКал,334 кКал,334 кКал,334 кКал
"Пшеничная мука высшего сорта, 10% белка, неотбеленная, обогащенная",366 кКал,366 кКал,366 кКал,366 кКал
"Пшеничная мука высшего сорта, 10% белка, отбеленная, необогащенная",366 кКал,366 кКал,366 кКал,366 кКал
"Пшеничная мука высшего сорта, 10% белка, отбеленная, обогащенная",366 кКал,366 кКал,366 кКал,366 кКал
"Пшеничная мука высшего сорта, 11,5% белка, неотбеленная, обогащенная",363 кКал,363 кКал,363 кКал,363 кКал
"Пшеничная мука высшего сорта, 11,5% белка, отбеленная, необогащенная",363 кКал,363 кКал,363 кКал,363 кКал
"Пшеничная мука высшего сорта, 11,5% белка, отбеленная, обогащенная",363 кКал,363 кКал,363 кКал,363 кКал
"Пшеничная мука высшего сорта, 13% белка, отбеленная, необогащенная",362 кКал,362 кКал,362 кКал,362 кКал
"Пшеничная мука высшего сорта, 13% белка, отбеленная, обогащенная",362 кКал,362 кКал,362 кКал,362 кКал
"Пшеничная мука высшего сорта, 15% белка, отбеленная, необогащенная",362 кКал,362 кКал,362 кКал,362 кКал
"Пшеничная мука высшего сорта, 15% белка, отбеленная, обогащенная",362 кКал,362 кКал,362 кКал,362 кКал
"Пшеничная мука высшего сорта, 9% белка, отбеленная, необогащенная",367 кКал,367 кКал,367 кКал,367 кКал
"Пшеничная мука высшего сорта, 9% белка, отбеленная, обогащенная",367 кКал,367 кКал,367 кКал,367 кКал
"Пшеничная мука высшего сорта, кондитерская, обогащенная",362 кКал,362 кКал,362 кКал,362 кКал
"Пшеничная мука высшего сорта, смесь для тортильи, обогащенная",405 кКал,405 кКал,405 кКал,405 кКал
"Пшеничная мука высшего сорта, универсальная, необогащенная",364 кКал,364 кКал,364 кКал,364 кКал
"Пшеничная мука высшего сорта, универсальная, обогащенная кальцием",364 кКал,364 кКал,364 кКал,364 кКал
"Пшеничная мука высшего сорта, универсальная, обогащенная, неотбеленная",364 кКал,364 кКал,364 кКал,364 кКал
"Пшеничная мука высшего сорта, универсальная, обогащенная, отбеленная",364 кКал,364 кКал,364 кКал,364 кКал
"Пшеничная мука высшего сорта, универсальная, обогащенная, самоподнимающаяся",354 кКал,354 кКал,354 кКал,354 кКал
"Пшеничная мука высшего сорта, хлебопекарная, обогащенная",361 кКал,361 кКал,361 кКал,361 кКал
Пшеничная мука цельнозерновая,340 кКал,340 кКал,340 кКал,340 кКал
Пшеничная мука цельнозерновая из мягкой пшеницы,332 кКал,332 кКал,332 кКал,332 кКал
"Пшеничная мука, второго сорта",324 кКал,324 кКал,324 кКал,324 кКал
"Пшеничная мука, высшего сорта",334 кКал,334 кКал,334 кКал,334 кКал
"Пшеничная мука, высшего сорта, витаминизированная",334 кКал,334 кКал,334 кКал,334 кКал
"Пшеничная мука, обойная",312 кКал,312 кКал,312 кКал,312 кКал
"Пшеничная мука, первого сорта",329 кКал,329 кКал,329 кКал,329 кКал
"Пшеничная мука, первого сорта, витаминизированная",331 кКал,331 кКал,331 кКал,331 кКал
"Пшеничная мука, хлебопекарная, необогащенная",361 кКал,361 кКал,361 кКал,361 кКал
"Пшеничные зародыши, сырые",360 кКал,360 кКал,360 кКал,360 кКал
Пшеничные отруби,165 кКал,165 кКал,165 кКал,165 кКал
"Пшеничные отруби, сырые",216 кКал,216 кКал,216 кКал,216 кКал
Пшенная каша по 1-278,109 кКал,109 кКал,109 кКал,109 кКал
"Пшенная крупа, пшено шлифованное",342 кКал,342 кКал,342 кКал,342 кКал
Пшенная мука,382 кКал,382 кКал,382 кКал,382 кКал
Пшено (просо) воздушное,354 кКал,354 кКал,354 кКал,354 кКал
"Пшено, приготовленное",119 кКал,119 кКал,119 кКал,119 кКал
"Пшено, сырое",378 кКал,378 кКал,378 кКал,378 кКал
"Ржаная мука, обдирная",298 кКал,298 кКал,298 кКал,298 кКал
"Ржаная мука, обдирная",349 кКал,349 кКал,349 кКал,349 кКал
"Ржаная мука, обойная",294 кКал,294 кКал,294 кКал,294 кКал
"Ржаная мука, обойная",325 кКал,325 кКал,325 кКал,325 кКал
"Ржаная мука, сеяная",305 кКал,305 кКал,305 кКал,305 кКал
"Ржаная мука, сеяная",357 кКал,357 кКал,357 кКал,357 кКал
Ржаные отруби,"114,2 кКал","114,2 кКал","114,2 кКал","114,2 кКал"
"Рис белый длиннозерный, быстроразваривающийся, обогащенный, приготовленный",124 кКал,124 кКал,124 кКал,124 кКал
"Рис белый длиннозерный, быстроразваривающийся, обогащенный, сухой",380 кКал,380 кКал,380 кКал,380 кКал
"Рис белый длиннозерный, обогащенный, приготовленный",130 кКал,130 кКал,130 кКал,130 кКал
"Рис белый длиннозерный, обогащенный, приготовленный с солью",130 кКал,130 кКал,130 кКал,130 кКал
"Рис белый длиннозерный, обогащенный, сухой",365 кКал,365 кКал,365 кКал,365 кКал
"Рис белый длиннозерный, приготовленный без соли",130 кКал,130 кКал,130 кКал,130 кКал
"Рис белый длиннозерный, приготовленный с солью",130 кКал,130 кКал,130 кКал,130 кКал
"Рис белый длиннозерный, пропаренный, обогащенный, приготовленный",123 кКал,123 кКал,123 кКал,123 кКал
"Рис белый длиннозерный, пропаренный, обогащенный, сухой",374 кКал,374 кКал,374 кКал,374 кКал
"Рис белый длиннозерный, пропаренный, приготовленный",123 кКал,123 кКал,123 кКал,123 кКал
"Рис белый длиннозерный, сухой",365 кКал,365 кКал,365 кКал,365 кКал
"Рис белый длиннозерный, сухой",374 кКал,374 кКал,374 кКал,374 кКал
"Рис белый клейкий (азиатский), приготовленный",97 кКал,97 кКал,97 кКал,97 кКал
"Рис белый клейкий (азиатский), сухой",370 кКал,370 кКал,370 кКал,370 кКал
"Рис белый короткозерный, обогащенный, приготовленный",130 кКал,130 кКал,130 кКал,130 кКал
"Рис белый короткозерный, обогащенный, сухой",358 кКал,358 кКал,358 кКал,358 кКал
"Рис белый короткозерный, приготовленный",130 кКал,130 кКал,130 кКал,130 кКал
"Рис белый короткозерный, сухой",358 кКал,358 кКал,358 кКал,358 кКал
Рис белый приготовленный на пару (Китайская кухня),151 кКал,151 кКал,151 кКал,151 кКал
"Рис белый среднезерный, обогащенный, приготовленный",130 кКал,130 кКал,130 кКал,130 кКал
"Рис белый среднезерный, обогащенный, сухой",360 кКал,360 кКал,360 кКал,360 кКал
"Рис белый среднезерный, приготовленный",130 кКал,130 кКал,130 кКал,130 кКал
"Рис белый среднезерный, сухой",360 кКал,360 кКал,360 кКал,360 кКал
"Рис белый, крупа рисовая",333 кКал,333 кКал,333 кКал,333 кКал
"Рис дикий (черный, индейский рис, цициания), приготовленный",101 кКал,101 кКал,101 кКал,101 кКал
"Рис дикий (черный, индейский рис, цициания), сухой",357 кКал,357 кКал,357 кКал,357 кКал
"Рис желтый со специями, сухая смесь",343 кКал,343 кКал,343 кКал,343 кКал
"Рис коричневый (нешлифованный) длиннозерный, приготовленный",123 кКал,123 кКал,123 кКал,123 кКал
"Рис коричневый (нешлифованный) длиннозерный, сухой",367 кКал,367 кКал,367 кКал,367 кКал
"Рис коричневый (нешлифованный) среднезерный, приготовленный",112 кКал,112 кКал,112 кКал,112 кКал
"Рис коричневый (нешлифованный) среднезерный, сухой",362 кКал,362 кКал,362 кКал,362 кКал
"Рис коричневый (нешлифованный), пропаренный, приготовленный, UNCLE BENS",147 кКал,147 кКал,147 кКал,147 кКал
