Продукт,Калорийность,Белки,Жиры,Углеводы
"Заменитель грудного молока, MEAD JOHNSON, PROSOBEE, с железом, жидкий концентрат, невосстановленный",131 кКал,131 кКал,131 кКал,131 кКал
"Заменитель грудного молока, MEAD JOHNSON,NEXT STEP PROSOBEE, приготовленный из порошка",67 кКал,67 кКал,67 кКал,67 кКал
"Заменитель грудного молока, NESTLE (Нестле), GOOD START 2 ESSENTIALS, с железом, готовый к употреблению",65 кКал,65 кКал,65 кКал,65 кКал
"Заменитель грудного молока, NESTLE (Нестле), GOOD START 2 ESSENTIALS, с железом, жидкий концентрат, невосстановленный",125 кКал,125 кКал,125 кКал,125 кКал
"Заменитель грудного молока, NESTLE (Нестле), GOOD START SUPREME, с железом, готовый к употреблению",66 кКал,66 кКал,66 кКал,66 кКал
"Заменитель грудного молока, NESTLE (Нестле), GOOD START SUPREME, с железом, жидкий концентрат, невосстановленный",127 кКал,127 кКал,127 кКал,127 кКал
"Заменитель грудного молока, NESTLE (Нестле), GOOD START SUPREME, с железом, порошок",509 кКал,509 кКал,509 кКал,509 кКал
"Заменитель грудного молока, NESTLE, GOOD START 2 ESSENTIALS, с железом, порошок",471 кКал,471 кКал,471 кКал,471 кКал
"Заменитель грудного молока, NESTLE, GOOD START ESSENTIALS  соя, с железом, порошок",502 кКал,502 кКал,502 кКал,502 кКал
"Заменитель грудного молока, NESTLE, GOOD START ESSENTIALS, соя, с железом, жидкий концентрат, невосстановленный",128 кКал,128 кКал,128 кКал,128 кКал
"Заменитель грудного молока, NESTLE,GOOD START ESSENTIALS SOY, с железом, готовый к употреблению",65 кКал,65 кКал,65 кКал,65 кКал
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, готовый к употреблению (ранее WYETH-AYERST)",63 кКал,63 кКал,63 кКал,63 кКал
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, жидкий концентрат, невосстановленный (ранее WYETH-AYERST)",130 кКал,130 кКал,130 кКал,130 кКал
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, порошок, (ранее WYETH-AYERST)",524 кКал,524 кКал,524 кКал,524 кКал
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, готовый к употреблению, (ранее WYETH-AYERST)",63 кКал,63 кКал,63 кКал,63 кКал
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, жидкий концентрат, (ранее WYETH-AYERST)",126 кКал,126 кКал,126 кКал,126 кКал
"Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, порошок, (ранее WYETH-AYERST)",508 кКал,508 кКал,508 кКал,508 кКал
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, готовый к употреблению (ранее WYETH-AYERST)",63 кКал,63 кКал,63 кКал,63 кКал
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, жидкий концентрат, невосстановленный (ранее WYETH-AYERST)",130 кКал,130 кКал,130 кКал,130 кКал
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, порошок, (ранее WYETH-AYERST)",524 кКал,524 кКал,524 кКал,524 кКал
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, соя, готовый к употреблению, (ранее WYETH-AYERST)",63 кКал,63 кКал,63 кКал,63 кКал
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, соя, жидкий концентрат, невосстановленный (ранее WYETH-AYERST)",126 кКал,126 кКал,126 кКал,126 кКал
"Заменитель грудного молока, PBM PRODUCTS, бренд-стор, соя, порошок, (ранее WYETH-AYERST)",508 кКал,508 кКал,508 кКал,508 кКал
