Продукт,Калорийность,Белки,Жиры,Углеводы
"Китайская горькая тыква, плоды вареные без соли",19 кКал,19 кКал,19 кКал,19 кКал
"Китайская горькая тыква, плоды вареные с солью",19 кКал,19 кКал,19 кКал,19 кКал
"Козлобородник (овсяный корень, овощная устрица), вареный, без соли",68 кКал,68 кКал,68 кКал,68 кКал
"Козлобородник (овсяный корень, овощная устрица), вареный, с солью",68 кКал,68 кКал,68 кКал,68 кКал
"Козлобородник (овсяный корень, овощная устрица), сырой",82 кКал,82 кКал,82 кКал,82 кКал
"Колоказия (таро) таитянская, приготовленная без соли",44 кКал,44 кКал,44 кКал,44 кКал
"Колоказия (таро) таитянская, приготовленная с солью",44 кКал,44 кКал,44 кКал,44 кКал
"Колоказия (таро) таитянская, сырая",44 кКал,44 кКал,44 кКал,44 кКал
"Колоказия (таро), листья, приготовленные на пару, без соли",24 кКал,24 кКал,24 кКал,24 кКал
"Колоказия (таро), листья, приготовленные на пару, с солью",24 кКал,24 кКал,24 кКал,24 кКал
"Колоказия (таро), листья, сырые",42 кКал,42 кКал,42 кКал,42 кКал
"Колоказия (таро), побеги, приготовленные без соли",14 кКал,14 кКал,14 кКал,14 кКал
"Колоказия (таро), побеги, приготовленные с солью",14 кКал,14 кКал,14 кКал,14 кКал
"Колоказия (таро), побеги, сырые",11 кКал,11 кКал,11 кКал,11 кКал
"Колоказия (таро), приготовленная без соли",142 кКал,142 кКал,142 кКал,142 кКал
"Колоказия (таро), приготовленная с солью",142 кКал,142 кКал,142 кКал,142 кКал
"Колоказия (таро), сырая",112 кКал,112 кКал,112 кКал,112 кКал
Кольраби,44 кКал,44 кКал,44 кКал,44 кКал
Кольраби,27 кКал,27 кКал,27 кКал,27 кКал
"Кольраби, вареная, без соли",29 кКал,29 кКал,29 кКал,29 кКал
"Кольраби, вареная, с солью",29 кКал,29 кКал,29 кКал,29 кКал
"Корень лопуха, вареный, без соли",88 кКал,88 кКал,88 кКал,88 кКал
"Корень лопуха, вареный, с солью",88 кКал,88 кКал,88 кКал,88 кКал
"Корень лопуха, сырой",72 кКал,72 кКал,72 кКал,72 кКал
"Корень лотоса, вареный, без соли",66 кКал,66 кКал,66 кКал,66 кКал
"Корень лотоса, вареный, с солью",66 кКал,66 кКал,66 кКал,66 кКал
"Корень лотоса, сырой",74 кКал,74 кКал,74 кКал,74 кКал
"Корень цикория, сырой",72 кКал,72 кКал,72 кКал,72 кКал
Кресс-салат,32 кКал,32 кКал,32 кКал,32 кКал
"Кресс-салат, вареный, без соли",23 кКал,23 кКал,23 кКал,23 кКал
"Кресс-салат, вареный, с солью",23 кКал,23 кКал,23 кКал,23 кКал
"Кукуруза сахарная белая, вареная, без соли",97 кКал,97 кКал,97 кКал,97 кКал
"Кукуруза сахарная белая, вареная, с солью",97 кКал,97 кКал,97 кКал,97 кКал
"Кукуруза сахарная белая, замороженная, в початках",98 кКал,98 кКал,98 кКал,98 кКал
"Кукуруза сахарная белая, замороженная, в початках, вареная, без соли",94 кКал,94 кКал,94 кКал,94 кКал
"Кукуруза сахарная белая, замороженная, в початках, вареная, с солью",94 кКал,94 кКал,94 кКал,94 кКал
"Кукуруза сахарная белая, замороженная, свежие срезанные зерна",88 кКал,88 кКал,88 кКал,88 кКал
"Кукуруза сахарная белая, замороженная, свежие срезанные зерна, вареная, без соли",80 кКал,80 кКал,80 кКал,80 кКал
"Кукуруза сахарная белая, замороженная, свежие срезанные зерна, вареная, с солью",80 кКал,80 кКал,80 кКал,80 кКал
"Кукуруза сахарная белая, консервированная в вакуумной упаковке, без соли",79 кКал,79 кКал,79 кКал,79 кКал
"Кукуруза сахарная белая, консервированная цельными зернами",64 кКал,64 кКал,64 кКал,64 кКал
"Кукуруза сахарная белая, консервированная цельными зернами, без соли",64 кКал,64 кКал,64 кКал,64 кКал
"Кукуруза сахарная белая, консервированная цельными зернами, содержимое без жидкости",67 кКал,67 кКал,67 кКал,67 кКал
"Кукуруза сахарная белая, консервированная, в вакуумной упаковке",79 кКал,79 кКал,79 кКал,79 кКал
