Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,2696,3456,22,На складе
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,1097,1407,22,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1646,2110,22,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,1829,2345,22,На складе
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1619,2075,22,На складе
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,2204,2826,22,На складе
Библия C#,Фленов Михаил Евгеньевич,BHV,751,963,22,На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,760,1267,40,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,2377,3048,22,На складе
Разработка игр на Unreal Engine 4 за 24 часа,Куксон Арам и др.,Бомбора:Мировой компьютерный бестселлер,1772,2272,22,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,1226,1572,22,На складе
Изучаем C#,"Грин Дженнифер, Стиллмен Эндрю",Питер:Head First (O'Reilly),1364,2273,40,Ограничено
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,741,1235,40,На складе
Знакомство с PyTorch: глубокое обучение при обработке естественного языка,"Макмахан Брайан, Рао Делип",Питер:Бестселлеры O`Reilly,833,1389,40,На складе
Разработка требований к программному обеспечению,"Вигерс Карл, Битти Джой",BHV,1179,1512,22,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,558,715,22,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1737,2227,22,На складе
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),1244,2074,40,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1923,2465,22,Ограничено
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,346,444,22,Ограничено
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,538,690,22,Ограничено
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,4024,5159,22,На складе
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс:Библиотека профессионала,1629,2088,22,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,Нет автора,Солон-пресс:Библиотека студента,356,457,22,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,Нет автора,Солон-пресс:Библиотека студента,502,643,22,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,Нет автора,Солон-пресс:Библиотека студента,237,304,22,Ограничено
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,Нет автора,Солон-пресс:Библиотека студента,502,643,22,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,Нет автора,Солон-пресс:Библиотека студента,680,872,22,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,Нет автора,Солон-пресс:Библиотека студента,313,401,22,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,Нет автора,Солон-пресс:Библиотека студента,651,835,22,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,Нет автора,Солон-пресс:Библиотека студента,294,377,22,На складе
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи Мехди и др.,Питер:Бестселлеры O`Reilly,1557,2595,40,На складе
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс:Программируемые системы,913,1171,22,На складе
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,1281,1642,22,На складе
"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование",Урма Рауль-Габриэль и др.,Питер:Для профессионалов,1396,2327,40,На складе
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум:Высшее образование: Бакалавриат,3417,4381,22,На складе
Управление качеством программного обеспечения. Учебник,Черников Борис Васильевич,Форум:Среднее профессиональное образование,1658,2126,22,На складе
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань:Учебники для вузов. Специальная литература,2790,3577,22,На складе
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань:Учебники для вузов. Специальная литература,1830,2346,22,Ограничено
Python и анализ данных,Маккини Уэс,ДМК-Пресс,2377,3048,22,На складе
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,3658,4690,22,На складе
"Прикладные задачи оптимизации. Модели, методы, алгоритмы",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,828,1062,22,На складе
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР:Наука и практика,2629,3370,22,На складе
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,2154,2762,22,На складе
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1473,1889,22,На складе
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань:Учебники для вузов. Специальная литература,2326,2982,22,На складе
Рефакторинг с использованием шаблонов,Кериевски Джошуа,Диалектика,2973,3811,22,Ограничено
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,2561,3283,22,На складе
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,2561,3283,22,На складе
Линейная алгебра и линейное программирование для экономистов. Учебник,Швед Евгений Вадимович и др.,Кнорус:Бакалавриат,1069,1371,22,На складе
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,2696,3456,22,Ограничено
Оптимизация программ на C++. Проверенные методы повышения производительности,Гантерот Курт,Диалектика,2022,2592,22,Ограничено
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,402,516,22,На складе
Самоучитель Ruby,Симдянов Игорь Вячеславович,BHV:Самоучитель,1121,1437,22,На складе
Блокчейн. Руководство для начинающих разработчиков,Сингхал Бикрамадитья и др.,BHV,659,845,22,На складе
PHP глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,542,695,22,На складе
Легкий способ выучить Java,Пейн Брайсон,Бомбора:Мировой компьютерный бестселлер,834,1069,22,На складе
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум:Среднее профессиональное образование,3164,4057,22,На складе
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,2285,2929,22,На складе
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР:Высшее образование,1163,1491,22,На складе
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М:Среднее профессиональное образование,1011,1296,22,На складе
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум:Высшее образование,1426,1828,22,На складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2022,2592,22,На складе
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1646,2110,22,На складе
"Наш код. Ремесло, профессия, искусство",Бугаенко Егор,Питер:Библиотека программиста,639,1065,40,На складе
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,2568,3292,22,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,1829,2345,22,На складе
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,3371,4322,22,На складе
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,945,1211,22,Ограничено
Искусство программирования. Том 3. Сортировка и поиск,Кнут Дональд Эрвин,Диалектика,4719,6050,22,На складе
Применение UML 2.0 и шаблонов проектирования,Ларман Крэг,Диалектика,5202,6669,22,На складе
Программирование на Javascript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1348,1728,22,На складе
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,2325,2981,22,На складе
Kafka Streams в действии. Приложения и микросервисы для работы в реальном времени,Беджек Билл,Питер:Для профессионалов,1579,2632,40,На складе
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1646,2110,22,На складе
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,293,375,22,На складе
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс:Функциональное программирование,1281,1642,22,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,4045,5186,22,На складе
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1348,1728,22,Ограничено
GraphQL. Язык запросов для современных веб-приложений,"Бэнкс Алекс, Порселло Ева",Питер,693,1155,40,На складе
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,1281,1685,24,На складе
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,3111,3988,22,На складе
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,4719,6050,22,На складе
Vue.js в действии,"Хэнчетт Эрик, Листоун Бенджамин",Питер:Библиотека программиста,1042,1737,40,На складе
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,911,1519,40,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,2204,2826,22,Ограничено
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,1319,1691,22,На складе
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,771,989,22,На складе
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,2022,2592,22,На складе
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,1964,3273,40,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,1829,2345,22,На складе
Django 2.1. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV:Профессиональное программирование,1126,1444,22,На складе
TensorFlow для глубокого обучения,"Рамсундар Бхарат, Заде Реза Босаг",BHV,704,902,22,На складе
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1814,2326,22,На складе
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,2743,3517,22,На складе
Пользовательские истории. Искусство гибкой разработки ПО,Паттон Джефф,Питер:Бестселлеры O`Reilly,738,1317,44,На складе
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Бакалавриат,2285,2929,22,На складе
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,2568,3292,22,На складе
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань:Учебники для вузов. Специальная литература,662,849,22,На складе
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер:Head First (O'Reilly),1281,2785,54,На складе
Изучаем pandas,"Хейдт Майкл, Груздев Артем Владимирович",ДМК-Пресс,3111,3988,22,На складе
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс:Машинное обучение,1829,2345,22,На складе
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,5393,6914,22,На складе
C++. Полное руководство. Классическое издание,Шилдт Герберт,Вильямс,3371,4322,22,Ограничено
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,5393,6914,22,На складе
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,2696,3456,22,На складе
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,3371,4322,22,На складе
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1991,2553,22,На складе
Язык и среда программирования R. Учебное пособие,Золотарюк Анатолий Васильевич,ИНФРА-М:Высшее образование. Бакалавриат,1133,1452,22,На складе
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер:Для профессионалов,1038,1730,40,На складе
Язык программирования С++ (стандарт С++11). Краткий курс,Страуструп Бьерн,Бином,492,631,22,На складе
Самоучитель системного администратора,Кенин Александр Михайлович,BHV:Системный администратор,885,1134,22,На складе
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,2377,3048,22,На складе
Java за 24 часа,Кейденхед Роджерс,Диалектика,1080,1384,22,На складе
Совершенный алгоритм. Основы,Рафгарден Тим,Питер:Библиотека программиста,769,1282,40,На складе
Машинное обучение и TensorFlow,Шакла Нишант,Питер:Библиотека программиста,998,1663,40,На складе
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер:Библиотека программиста,1772,2953,40,На складе
Head First. Изучаем Go,Макгаврен Джей,Питер:Head First (O'Reilly),1879,3132,40,На складе
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1646,2110,22,На складе
Глубокое обучение. Погружение в мир нейронных сетей,Николенко С. и др.,Питер:Библиотека программиста,768,1280,40,На складе
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,1086,1392,22,Ограничено
Разработка программных модулей программного обеспечения для компьютерных систем. Прикладное програм.,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,2011,2578,22,Ограничено
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань:Учебники для вузов. Специальная литература,662,849,22,На складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,2790,3577,22,На складе
Введение в глубокое обучение,Черняк Евгений,Вильямс,1080,1384,22,На складе
Язык C. Самое необходимое,Прохоренок Николай Анатольевич,BHV:Самое необходимое,771,988,22,На складе
Машинное обучение без лишних слов,Бурков Андрей,Питер:Библиотека программиста,847,1412,40,На складе
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),740,949,22,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,555,712,22,На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,866,1110,22,На складе
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,3963,5081,22,На складе
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование,Рафгарден Тим,Питер:Библиотека программиста,920,1533,40,На складе
Паттерны Kubernetes. Шаблоны разработки собственных облачных приложений,"Ибрам Билджин, Хасс Роланд",Питер:Бестселлеры O`Reilly,1044,1740,40,На складе
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1371,1758,22,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,3477,4458,22,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1829,2345,22,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1646,2110,22,На складе
Машинное обучение для алгоритмической торговли на финансовых рынках. Практикум,Янсен Стефан,BHV,1416,1815,22,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1034,1724,40,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1080,1384,22,На складе
Введение в информационный поиск,Маннинг Кристофер Д. и др.,Вильямс,4459,5717,22,На складе
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,4045,5186,22,Ограничено
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,3371,4322,22,На складе
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1434,1838,22,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2927,3752,22,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1829,2345,22,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,1829,2345,22,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,1705,2186,22,На складе
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,1005,1289,22,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1646,2110,22,На складе
Объектно-ориентированный подход,Вайсфельд Мэтт,Питер:Библиотека программиста,784,1307,40,На складе
Разработка с использованием квантовых компьютеров,Силва Владимир,Питер:Библиотека программиста,1254,2090,40,На складе
C++. Практика многопоточного программирования,Уильямс Энтони,Питер:Для профессионалов,1734,2890,40,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1003,1672,40,На складе
Laravel. Полное руководство,Стаффер Мэтт,Питер:Бестселлеры O`Reilly,1296,2160,40,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,3371,4322,22,На складе
Программирование логических контроллеров. Учебное пособие,Иванов Виктор Никитович,Солон-пресс:Библиотека студента,1088,1395,22,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,2195,2814,22,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,651,835,22,На складе
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,2195,2814,22,На складе
С/С++ Процедурное программирование,Полубенцева М. И.,BHV:Внесерийная,1026,1316,22,На складе
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,3033,3888,22,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,1214,1556,22,На складе
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,3030,3885,22,На складе
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1256,1610,22,На складе
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения,Будума Нихиль,"Манн, Иванов и Фербер",1492,1913,22,На складе
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,814,1044,22,На складе
DevOps для современного предприятия,Херинг Мирко,ДМК-Пресс,1281,1642,22,На складе
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,1829,2345,22,На складе
ELIXIR в действии,Юрич Саша,ДМК-Пресс,2195,2814,22,На складе
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1829,2345,22,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,2629,3370,22,На складе
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1518,1946,22,На складе
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1646,2110,22,На складе
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1646,2110,22,На складе
Прикладное глубокое обучение. Подход к пониманию глубоких нейронных сетей на основе метода кейсов,Микелуччи Умберто,BHV,830,1064,22,На складе
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер:Библиотека программиста,631,1051,40,На складе
Head First. Паттерны проектирования. Обновленное юбилейное издание,Фримен Эрик и др.,Питер:Head First (O'Reilly),1436,2394,40,На складе
C# для профессионалов. Тонкости программирования,Скит Джон,Вильямс,3371,4322,22,На складе
Python. Карманный справочник,Лутц Марк,Диалектика,1080,1384,22,На складе
Искусство программирования. Том 1. Основные алгоритмы,Кнут Дональд Эрвин,Вильямс,4719,6050,22,Ограничено
"Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений","Хоп Грегор, Вульф Бобби",Диалектика,4719,6050,22,На складе
Язык программирования C. Лекции и упражнения,Прата Стивен,Диалектика,4045,5186,22,На складе
C# 4.0. Полное руководство,Шилдт Герберт,Диалектика,3371,4322,22,На складе
Реализация методов предметно-ориентированного проектирования,Вернон Вон,Диалектика,4045,5186,22,Ограничено
Веб-программирование для чайников,Никхил Абрахам,"Диалектика:Для ""чайников""",1619,2075,22,На складе
Язык программирования Go,"Керниган Брайан, Донован Алан А. А.",Диалектика,2022,2592,22,На складе
PHP7 для начинающих с пошаговыми инструкциями,МакГрат Майк,Эксмо-Пресс:Программирование - это просто,600,769,22,На складе
Angular. Сборник рецептов,Фрисби Мэтт,Вильямс,1348,1728,22,Ограничено
Java. Полное руководство,Шилдт Герберт,Вильямс,4719,6050,22,На складе
Исследование операций,Таха Хемди А.,Диалектика,4045,5186,22,На складе
Разработка чат-ботов и разговорных интерфейсов,Джанарсанам Срини,ДМК-Пресс,1463,1876,22,На складе
Компиляторы. Краткий справочник,Хантер Робин,Вильямс,893,1145,22,Ограничено
Структуры данных и алгоритмы,Ахо Альфред В. и др.,Вильямс,1785,2288,22,Ограничено
Язык программирования C# 7 и платформы .NET и .NET Core,"Троелсен Эндрю, Джепикс Филипп",Вильямс,5393,6914,22,На складе
Шаблоны C++. Справочник разработчика,Вандевурд Дэвид и др.,Диалектика,3371,4322,22,На складе
Java Persistence API и Hibernate,Бауэр Кристиан и др.,ДМК-Пресс,1829,2345,22,На складе
Байесовские модели. Байесовская статистика на языке Python,Дауни Аллен Б.,ДМК-Пресс,1187,1522,22,На складе
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание,Рихтер Джеффри,Питер:Мастер-класс,1369,2281,40,На складе
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных,Льюис Джонатан,ДМК-Пресс,1463,1876,22,На складе
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,508,846,40,На складе
Apache Kafka. Потоковая обработка и анализ данных,Нархид Ния и др.,Питер:Бестселлеры O`Reilly,1058,1763,40,На складе
Site Reliability Engineering. Надежность и безотказность как в Google,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,1254,2090,40,На складе
Akka в действии,Рестенбург Раймонд и др.,ДМК-Пресс,1829,2345,22,На складе
Искусство создания сценариев в Unity,Торн Алан,ДМК-Пресс,1463,1876,22,На складе
Основы работы с технологией CUDA,"Боресков Алексей Викторович, Харламов Александр Александрович",ДМК-Пресс,738,946,22,На складе
WebGL. Программирование трехмерной графики,"Мацуда Коичи, Ли Роджер",ДМК-Пресс,1463,1876,22,На складе
Безопасность разработка в Agile-проектах,Белл Лаура и др.,ДМК-Пресс,1646,2110,22,На складе
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер:Библиотека программиста,899,1498,40,На складе
Теория измеримых множеств и мультимножеств,Петровский Алексей Борисович,Наука,896,1149,22,Ограничено
Совершенный код. Мастер-класс,Макконнелл Стив,Русская редакция,1533,1966,22,На складе
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,ДМК-Пресс,1646,2110,22,На складе
"Искусственный интеллект .NET. Речь, язык и поиск","Патак Нишит, Бхандари Анураг",ДМК-Пресс,1463,1876,22,На складе
Элегантный SciPy,Нуньес-Иглесиас Хуан и др.,ДМК-Пресс,1737,2227,22,На складе
Стандартная библиотека Python 3. Справочник с примерами,Хеллман Даг,Диалектика,4719,6050,22,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1272,1631,22,На складе
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,ДМК-Пресс,1371,1758,22,На складе
